Source	Population	Allele	Alleles Observed	Alleles Total	Frequency
UKBB	African American/Afro-Caribbean	*1	1097	3852	0.284787
UKBB	All populations	*1	233940	400088	0.584721
UKBB	Central/South Asian	*1	3904	6920	0.564162
UKBB	East Asian	*1	438	1274	0.343799
UKBB	European	*1	222947	375320	0.594018
UKBB	Other	*1	4928	10252	0.480687
UKBB	Sub-Saharan African	*1	626	2470	0.253441
UKBB	African American/Afro-Caribbean	*2	0	3852	0
UKBB	All populations	*2	0	400088	0
UKBB	Central/South Asian	*2	0	6920	0
UKBB	East Asian	*2	0	1274	0
UKBB	European	*2	0	375320	0
UKBB	Other	*2	0	10252	0
UKBB	Sub-Saharan African	*2	0	2470	0
UKBB	African American/Afro-Caribbean	*4	2	3852	0.000519
UKBB	All populations	*4	313	400088	0.000782
UKBB	Central/South Asian	*4	1	6920	0.000145
UKBB	East Asian	*4	0	1274	0
UKBB	European	*4	308	375320	0.000821
UKBB	Other	*4	2	10252	0.000195
UKBB	Sub-Saharan African	*4	0	2470	0
UKBB	African American/Afro-Caribbean	*5	2	3852	0.000519
UKBB	All populations	*5	8269	400088	0.020668
UKBB	Central/South Asian	*5	24	6920	0.003468
UKBB	East Asian	*5	2	1274	0.001570
UKBB	European	*5	8144	375320	0.021699
UKBB	Other	*5	96	10252	0.009364
UKBB	Sub-Saharan African	*5	1	2470	0.000405
UKBB	African American/Afro-Caribbean	*6	0	3852	0
UKBB	All populations	*6	2	400088	0.000005
UKBB	Central/South Asian	*6	0	6920	0
UKBB	East Asian	*6	0	1274	0
UKBB	European	*6	2	375320	0.000005
UKBB	Other	*6	0	10252	0
UKBB	Sub-Saharan African	*6	0	2470	0
UKBB	African American/Afro-Caribbean	*8	0	3852	0
UKBB	All populations	*8	0	400088	0
UKBB	Central/South Asian	*8	0	6920	0
UKBB	East Asian	*8	0	1274	0
UKBB	European	*8	0	375320	0
UKBB	Other	*8	0	10252	0
UKBB	Sub-Saharan African	*8	0	2470	0
UKBB	African American/Afro-Caribbean	*9	0	3852	0
UKBB	All populations	*9	1	400088	0.000002
UKBB	Central/South Asian	*9	0	6920	0
UKBB	East Asian	*9	0	1274	0
UKBB	European	*9	0	375320	0
UKBB	Other	*9	1	10252	0.000098
UKBB	Sub-Saharan African	*9	0	2470	0
UKBB	African American/Afro-Caribbean	*10	0	3852	0
UKBB	All populations	*10	0	400088	0
UKBB	Central/South Asian	*10	0	6920	0
UKBB	East Asian	*10	0	1274	0
UKBB	European	*10	0	375320	0
UKBB	Other	*10	0	10252	0
UKBB	Sub-Saharan African	*10	0	2470	0
UKBB	African American/Afro-Caribbean	*11	0	3852	0
UKBB	All populations	*11	0	400088	0
UKBB	Central/South Asian	*11	0	6920	0
UKBB	East Asian	*11	0	1274	0
UKBB	European	*11	0	375320	0
UKBB	Other	*11	0	10252	0
UKBB	Sub-Saharan African	*11	0	2470	0
UKBB	African American/Afro-Caribbean	*14	54	3852	0.014019
UKBB	All populations	*14	26270	400088	0.065661
UKBB	Central/South Asian	*14	129	6920	0.018642
UKBB	East Asian	*14	0	1274	0
UKBB	European	*14	25655	375320	0.068355
UKBB	Other	*14	400	10252	0.039017
UKBB	Sub-Saharan African	*14	32	2470	0.012955
UKBB	African American/Afro-Caribbean	*15	58	3852	0.015057
UKBB	All populations	*15	33112	400088	0.082762
UKBB	Central/South Asian	*15	197	6920	0.028468
UKBB	East Asian	*15	106	1274	0.083203
UKBB	European	*15	32062	375320	0.085426
UKBB	Other	*15	663	10252	0.064670
UKBB	Sub-Saharan African	*15	26	2470	0.010526
UKBB	African American/Afro-Caribbean	*16	0	3852	0
UKBB	All populations	*16	16	400088	0.000040
UKBB	Central/South Asian	*16	0	6920	0
UKBB	East Asian	*16	7	1274	0.005495
UKBB	European	*16	0	375320	0
UKBB	Other	*16	9	10252	0.000878
UKBB	Sub-Saharan African	*16	0	2470	0
UKBB	African American/Afro-Caribbean	*19	7	3852	0.001817
UKBB	All populations	*19	460	400088	0.001150
UKBB	Central/South Asian	*19	110	6920	0.015896
UKBB	East Asian	*19	0	1274	0
UKBB	European	*19	302	375320	0.000805
UKBB	Other	*19	40	10252	0.003902
UKBB	Sub-Saharan African	*19	1	2470	0.000405
UKBB	African American/Afro-Caribbean	*20	200	3852	0.051921
UKBB	All populations	*20	15774	400088	0.039426
UKBB	Central/South Asian	*20	153	6920	0.022110
UKBB	East Asian	*20	2	1274	0.001570
UKBB	European	*20	14917	375320	0.039745
UKBB	Other	*20	371	10252	0.036188
UKBB	Sub-Saharan African	*20	131	2470	0.053036
UKBB	African American/Afro-Caribbean	*23	0	3852	0
UKBB	All populations	*23	16	400088	0.000040
UKBB	Central/South Asian	*23	0	6920	0
UKBB	East Asian	*23	0	1274	0
UKBB	European	*23	15	375320	0.000040
UKBB	Other	*23	1	10252	0.000098
UKBB	Sub-Saharan African	*23	0	2470	0
UKBB	African American/Afro-Caribbean	*24	8	3852	0.002077
UKBB	All populations	*24	249	400088	0.000622
UKBB	Central/South Asian	*24	160	6920	0.023121
UKBB	East Asian	*24	0	1274	0
UKBB	European	*24	7	375320	0.000019
UKBB	Other	*24	71	10252	0.006925
UKBB	Sub-Saharan African	*24	3	2470	0.001215
UKBB	African American/Afro-Caribbean	*25	0	3852	0
UKBB	All populations	*25	0	400088	0
UKBB	Central/South Asian	*25	0	6920	0
UKBB	East Asian	*25	0	1274	0
UKBB	European	*25	0	375320	0
UKBB	Other	*25	0	10252	0
UKBB	Sub-Saharan African	*25	0	2470	0
UKBB	African American/Afro-Caribbean	*26	0	3852	0
UKBB	All populations	*26	35	400088	0.000087
UKBB	Central/South Asian	*26	1	6920	0.000145
UKBB	East Asian	*26	0	1274	0
UKBB	European	*26	33	375320	0.000088
UKBB	Other	*26	1	10252	0.000098
UKBB	Sub-Saharan African	*26	0	2470	0
UKBB	African American/Afro-Caribbean	*27	178	3852	0.046210
UKBB	All populations	*27	398	400088	0.000995
UKBB	Central/South Asian	*27	0	6920	0
UKBB	East Asian	*27	0	1274	0
UKBB	European	*27	32	375320	0.000085
UKBB	Other	*27	80	10252	0.007803
UKBB	Sub-Saharan African	*27	108	2470	0.043725
UKBB	African American/Afro-Caribbean	*28	14	3852	0.003634
UKBB	All populations	*28	22	400088	0.000055
UKBB	Central/South Asian	*28	0	6920	0
UKBB	East Asian	*28	0	1274	0
UKBB	European	*28	0	375320	0
UKBB	Other	*28	4	10252	0.000390
UKBB	Sub-Saharan African	*28	4	2470	0.001619
UKBB	African American/Afro-Caribbean	*29	0	3852	0
UKBB	All populations	*29	5	400088	0.000012
UKBB	Central/South Asian	*29	1	6920	0.000145
UKBB	East Asian	*29	3	1274	0.002355
UKBB	European	*29	0	375320	0
UKBB	Other	*29	1	10252	0.000098
UKBB	Sub-Saharan African	*29	0	2470	0
UKBB	African American/Afro-Caribbean	*30	47	3852	0.012201
UKBB	All populations	*30	116	400088	0.000290
UKBB	Central/South Asian	*30	0	6920	0
UKBB	East Asian	*30	0	1274	0
UKBB	European	*30	0	375320	0
UKBB	Other	*30	23	10252	0.002243
UKBB	Sub-Saharan African	*30	46	2470	0.018623
UKBB	African American/Afro-Caribbean	*31	104	3852	0.026999
UKBB	All populations	*31	255	400088	0.000637
UKBB	Central/South Asian	*31	0	6920	0
UKBB	East Asian	*31	0	1274	0
UKBB	European	*31	5	375320	0.000013
UKBB	Other	*31	61	10252	0.005950
UKBB	Sub-Saharan African	*31	85	2470	0.034413
UKBB	African American/Afro-Caribbean	*32	0	3852	0
UKBB	All populations	*32	10	400088	0.000025
UKBB	Central/South Asian	*32	6	6920	0.000867
UKBB	East Asian	*32	0	1274	0
UKBB	European	*32	3	375320	0.000008
UKBB	Other	*32	1	10252	0.000098
UKBB	Sub-Saharan African	*32	0	2470	0
UKBB	African American/Afro-Caribbean	*33	0	3852	0
UKBB	All populations	*33	0	400088	0
UKBB	Central/South Asian	*33	0	6920	0
UKBB	East Asian	*33	0	1274	0
UKBB	European	*33	0	375320	0
UKBB	Other	*33	0	10252	0
UKBB	Sub-Saharan African	*33	0	2470	0
UKBB	African American/Afro-Caribbean	*34	0	3852	0
UKBB	All populations	*34	8	400088	0.000020
UKBB	Central/South Asian	*34	0	6920	0
UKBB	East Asian	*34	0	1274	0
UKBB	European	*34	8	375320	0.000021
UKBB	Other	*34	0	10252	0
UKBB	Sub-Saharan African	*34	0	2470	0
UKBB	African American/Afro-Caribbean	*36	0	3852	0
UKBB	All populations	*36	0	400088	0
UKBB	Central/South Asian	*36	0	6920	0
UKBB	East Asian	*36	0	1274	0
UKBB	European	*36	0	375320	0
UKBB	Other	*36	0	10252	0
UKBB	Sub-Saharan African	*36	0	2470	0
UKBB	African American/Afro-Caribbean	*37	1460	3852	0.379024
UKBB	All populations	*37	26052	400088	0.065116
UKBB	Central/South Asian	*37	1799	6920	0.259971
UKBB	East Asian	*37	628	1274	0.492936
UKBB	European	*37	18896	375320	0.050346
UKBB	Other	*37	2256	10252	0.220055
UKBB	Sub-Saharan African	*37	1013	2470	0.410121
UKBB	African American/Afro-Caribbean	*39	1	3852	0.000260
UKBB	All populations	*39	11	400088	0.000027
UKBB	Central/South Asian	*39	0	6920	0
UKBB	East Asian	*39	3	1274	0.002355
UKBB	European	*39	5	375320	0.000013
UKBB	Other	*39	2	10252	0.000195
UKBB	Sub-Saharan African	*39	0	2470	0
UKBB	African American/Afro-Caribbean	*40	1	3852	0.000260
UKBB	All populations	*40	618	400088	0.001545
UKBB	Central/South Asian	*40	1	6920	0.000145
UKBB	East Asian	*40	0	1274	0
UKBB	European	*40	602	375320	0.001604
UKBB	Other	*40	11	10252	0.001073
UKBB	Sub-Saharan African	*40	3	2470	0.001215
UKBB	African American/Afro-Caribbean	*41	92	3852	0.023884
UKBB	All populations	*41	181	400088	0.000452
UKBB	Central/South Asian	*41	0	6920	0
UKBB	East Asian	*41	0	1274	0
UKBB	European	*41	4	375320	0.000011
UKBB	Other	*41	36	10252	0.003512
UKBB	Sub-Saharan African	*41	49	2470	0.019838
UKBB	African American/Afro-Caribbean	*42	3	3852	0.000779
UKBB	All populations	*42	9	400088	0.000022
UKBB	Central/South Asian	*42	0	6920	0
UKBB	East Asian	*42	0	1274	0
UKBB	European	*42	0	375320	0
UKBB	Other	*42	1	10252	0.000098
UKBB	Sub-Saharan African	*42	5	2470	0.002024
UKBB	African American/Afro-Caribbean	*43	23	3852	0.005971
