IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100_N
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,528,COUNTRY,PUBLISHED,MRSA infections,Netherlands (Kingdom of the),1.2
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,566,COUNTRY,PUBLISHED,MRSA infections,Nigeria,65.8
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,578,COUNTRY,PUBLISHED,MRSA infections,Norway,0.9
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,586,COUNTRY,PUBLISHED,MRSA infections,Pakistan,28.6
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,608,COUNTRY,PUBLISHED,MRSA infections,Philippines,55.4
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,616,COUNTRY,PUBLISHED,MRSA infections,Poland,15.9
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,643,COUNTRY,PUBLISHED,MRSA infections,Russian Federation,14.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,682,COUNTRY,PUBLISHED,MRSA infections,Saudi Arabia,46.5
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,710,COUNTRY,PUBLISHED,MRSA infections,South Africa,24.6
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,729,COUNTRY,PUBLISHED,MRSA infections,Sudan,52.2
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,752,COUNTRY,PUBLISHED,MRSA infections,Sweden,1.9
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,756,COUNTRY,PUBLISHED,MRSA infections,Switzerland,5.8
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,764,COUNTRY,PUBLISHED,MRSA infections,Thailand,11.3
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,784,COUNTRY,PUBLISHED,MRSA infections,United Arab Emirates,23.7
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,788,COUNTRY,PUBLISHED,MRSA infections,Tunisia,21.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,807,COUNTRY,PUBLISHED,MRSA infections,North Macedonia,53.5
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,818,COUNTRY,PUBLISHED,MRSA infections,Egypt,70.4
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,826,COUNTRY,PUBLISHED,MRSA infections,United Kingdom of Great Britain and Northern Ireland,7.3
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,001,GLOBAL,PUBLISHED,MRSA infections,World,21.7
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,032,COUNTRY,PUBLISHED,MRSA infections,Argentina,42.03
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,036,COUNTRY,PUBLISHED,MRSA infections,Australia,18.47
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,040,COUNTRY,PUBLISHED,MRSA infections,Austria,5.26
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,048,COUNTRY,PUBLISHED,MRSA infections,Bahrain,40.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2019,YEAR,064,COUNTRY,PUBLISHED,MRSA infections,Bhutan,20.79
