IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100_N
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,784,COUNTRY,PUBLISHED,E.coli infections,United Arab Emirates,48.07
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,788,COUNTRY,PUBLISHED,E.coli infections,Tunisia,35.9
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,800,COUNTRY,PUBLISHED,E.coli infections,Uganda,46.15
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,807,COUNTRY,PUBLISHED,E.coli infections,North Macedonia,71.05
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,826,COUNTRY,PUBLISHED,E.coli infections,United Kingdom of Great Britain and Northern Ireland,10.26
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,894,COUNTRY,PUBLISHED,E.coli infections,Zambia,51.52
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,001,GLOBAL,PUBLISHED,E.coli infections,World,36.0
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,032,COUNTRY,PUBLISHED,E.coli infections,Argentina,20.0
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,040,COUNTRY,PUBLISHED,E.coli infections,Austria,10.2
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,048,COUNTRY,PUBLISHED,E.coli infections,Bahrain,43.2
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,050,COUNTRY,PUBLISHED,E.coli infections,Bangladesh,70.0
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,070,COUNTRY,PUBLISHED,E.coli infections,Bosnia and Herzegovina,20.2
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,076,COUNTRY,PUBLISHED,E.coli infections,Brazil,15.9
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,104,COUNTRY,PUBLISHED,E.coli infections,Myanmar,84.91
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,116,COUNTRY,PUBLISHED,E.coli infections,Cambodia,72.8
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,144,COUNTRY,PUBLISHED,E.coli infections,Sri Lanka,67.67
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,191,COUNTRY,PUBLISHED,E.coli infections,Croatia,14.8
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,196,COUNTRY,PUBLISHED,E.coli infections,Cyprus,37.1
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,203,COUNTRY,PUBLISHED,E.coli infections,Czechia,15.2
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,231,COUNTRY,PUBLISHED,E.coli infections,Ethiopia,100.0
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,246,COUNTRY,PUBLISHED,E.coli infections,Finland,7.59
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,250,COUNTRY,PUBLISHED,E.coli infections,France,9.59
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,268,COUNTRY,PUBLISHED,E.coli infections,Georgia,55.77
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,276,COUNTRY,PUBLISHED,E.coli infections,Germany,12.18
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,300,COUNTRY,PUBLISHED,E.coli infections,Greece,19.33
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,356,COUNTRY,PUBLISHED,E.coli infections,India,78.83
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,360,COUNTRY,PUBLISHED,E.coli infections,Indonesia,71.88
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,364,COUNTRY,PUBLISHED,E.coli infections,Iran (Islamic Republic of),65.54
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,372,COUNTRY,PUBLISHED,E.coli infections,Ireland,12.88
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,380,COUNTRY,PUBLISHED,E.coli infections,Italy,28.7
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,392,COUNTRY,PUBLISHED,E.coli infections,Japan,20.12
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,400,COUNTRY,PUBLISHED,E.coli infections,Jordan,61.9
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,410,COUNTRY,PUBLISHED,E.coli infections,Republic of Korea,38.63
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,418,COUNTRY,PUBLISHED,E.coli infections,Lao People's Democratic Republic,45.45
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,422,COUNTRY,PUBLISHED,E.coli infections,Lebanon,50.53
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,428,COUNTRY,PUBLISHED,E.coli infections,Latvia,20.4
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,440,COUNTRY,PUBLISHED,E.coli infections,Lithuania,15.33
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,450,COUNTRY,PUBLISHED,E.coli infections,Madagascar,33.33
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,458,COUNTRY,PUBLISHED,E.coli infections,Malaysia,27.79
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,462,COUNTRY,PUBLISHED,E.coli infections,Maldives,62.96
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,466,COUNTRY,PUBLISHED,E.coli infections,Mali,32.05
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,470,COUNTRY,PUBLISHED,E.coli infections,Malta,16.37
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,512,COUNTRY,PUBLISHED,E.coli infections,Oman,52.28
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,524,COUNTRY,PUBLISHED,E.coli infections,Nepal,65.33
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,528,COUNTRY,PUBLISHED,E.coli infections,Netherlands (Kingdom of the),7.29
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,566,COUNTRY,PUBLISHED,E.coli infections,Nigeria,81.63
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,578,COUNTRY,PUBLISHED,E.coli infections,Norway,6.75
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,586,COUNTRY,PUBLISHED,E.coli infections,Pakistan,69.2
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2018,YEAR,608,COUNTRY,PUBLISHED,E.coli infections,Philippines,36.03
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,410,COUNTRY,PUBLISHED,E.coli infections,Republic of Korea,35.33
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,422,COUNTRY,PUBLISHED,E.coli infections,Lebanon,48.53
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,428,COUNTRY,PUBLISHED,E.coli infections,Latvia,28.24
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,440,COUNTRY,PUBLISHED,E.coli infections,Lithuania,9.7
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,454,COUNTRY,PUBLISHED,E.coli infections,Malawi,78.52
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,578,COUNTRY,PUBLISHED,E.coli infections,Norway,5.58
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,608,COUNTRY,PUBLISHED,E.coli infections,Philippines,38.02
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,756,COUNTRY,PUBLISHED,E.coli infections,Switzerland,9.16
