Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994085,10520,1,,1,7118,75,,,
China,Western Pacific,99381761,6755,0,,0,122398,8,0,,0
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977798,51256,1,,1,7720,405,7,,7
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9573,40,,,,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89437,534,,,,1972,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88531,336,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8648106,49680,47,,47,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Azerbaijan,Europe,836510,8250,,,,10353,102,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Suriname,Americas,82516,14066,,,,1406,240,,,
New Caledonia,Western Pacific,80203,28092,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7985,100,,,,125,2,,,
French Polynesia,Western Pacific,79451,28284,,,,650,231,,,
Liberia,Africa,7932,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
British Virgin Islands,Americas,7661,25337,0,,0,64,212,0,,0
Mexico,Americas,7629928,5918,17,,17,335098,260,0,,0
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Guyana,Americas,75520,9601,,,,1312,167,,,
Eswatini,Africa,75356,6495,,,,1427,123,,,
Cook Islands,Western Pacific,7375,41989,,,,2,11,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Cyprus,Europe,718652,80929,,,,1364,154,,,
Belize,Americas,71493,17980,0,,0,688,173,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.79145936E8,4823087.0,11278.0,78.0,11278.0,7112352.0,29552.0,301.0,,301.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Turks and Caicos Islands,Americas,6933,17906,0,,0,41,106,0,,0
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68733,248,,,,1428,5,,,
Poland,Europe,6841336,18023,736,2,736,120979,319,,,
Indonesia,South-East Asia,6830274,2497,,,,162059,59,,,
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Sri Lanka,South-East Asia,672812,3142,,,,16907,79,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Republic of Moldova,Europe,656455,16273,0,,0,12290,305,0,,0
Cabo Verde,Africa,64550,11610,,,,417,75,,,
Myanmar,South-East Asia,643401,1183,,,,19494,36,,,
Colombia,Americas,6402780,12583,34,,34,142805,281,0,,0
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Mauritania,Africa,63891,1374,,,,997,21,,,
Palau,Western Pacific,6372,35220,,,,10,55,,,
Bhutan,South-East Asia,63193,8190,,,,21,3,,,
Estonia,Europe,617344,46453,133,10,133,3417,257,3,,3
Austria,Europe,6083769,68349,6,,6,22534,253,,,
Greece,Europe,5860196,54673,1478,14,1478,40239,375,5,,5
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Portugal,Europe,5671586,55086,,,,29643,288,0,,0
Ukraine,Europe,5555243,12702,40,,40,109937,251,0,,0
Venezuela (Bolivarian Republic of),Americas,552743,1944,,,,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Thailand,South-East Asia,5419906,7765,,,,34993,50,,,
Chile,Americas,5410454,28303,9,,9,62886,329,0,,0
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5329836,16467,,,,37351,115,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51899,52771,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501324,436,,,,7574,7,,,
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Belgium,Europe,4907118,42587,123,1,123,34339,298,,,
Gabon,Africa,49069,2205,,,,307,14,,,
Czechia,Europe,4886177,45691,259,2,259,43927,411,1,,1
Israel,Europe,4841701,55938,,,,12707,147,,,
Canada,Americas,4819055,12768,,,,55282,146,,,
Andorra,Europe,48015,62143,,,,159,206,,,
Honduras,Americas,473041,4776,0,,0,11114,112,0,,0
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Cura�ao,Americas,45883,27962,,,,305,186,,,
Armenia,Europe,454894,15351,,,,8785,296,,,
Peru,Americas,4533436,13749,,,,221067,670,,,
India,South-East Asia,45056126,3265,,,,533847,39,,,
Switzerland,Europe,4491534,51898,121,1,121,14170,164,,,
Aruba,Americas,44224,41421,,,,292,273,,,
United Republic of Tanzania,Africa,43606,73,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4073151,6868,,,,102595,173,,,
Bosnia and Herzegovina,Europe,404289,12323,,,,16419,500,0,,0
Luxembourg,Europe,401517,64129,56,9,56,1000,160,,,
Pitcairn,,4,8000,,,,0,,,,
International conveyance (American Samoa),Other,4,,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Togo,Africa,39553,478,,,,290,4,,,
Bahamas,Americas,39127,9950,,,,849,216,,,
France,Europe,39058710,60054,268,,268,168202,259,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
Guinea,Africa,38593,294,,,,468,4,,,
Germany,Europe,38437952,46218,0,,0,174979,210,,,
Isle of Man,,38008,44698,,,,116,136,,,
Brazil,Americas,37978000,17867,5379,3,5379,703774,331,3,,3
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Lesotho,Africa,36140,1687,,,,709,33,,,
Romania,Europe,3603852,18645,35,,35,69095,357,0,,0
Guernsey,,35326,54796,,,,67,104,,,
North Macedonia,Europe,352093,16900,,,,9991,480,,,
Brunei Darussalam,Western Pacific,350550,80130,,,,182,42,,,
Haiti,Americas,35027,307,0,,0,860,8,,,
Zambia,Africa,349892,1903,,,,4078,22,,,
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Denmark,Europe,3453415,59309,76,1,76,10012,172,,,
Kenya,Africa,344140,640,,,,5689,11,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,337234,11718,,,,3608,125,,,
Mauritius,Africa,332105,26114,,,,1074,84,,,
Mali,Africa,33199,164,,,,743,4,,,
Botswana,Africa,330699,14063,,,,2801,119,,,
Micronesia (Federated States of),Western Pacific,31765,27616,,,,62,54,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30254,16476,0,,0,410,223,0,,0
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2785768,26974,335,3,335,29351,284,28,,28
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272435,621,,,,6881,16,,,
Italy,Europe,26969856,45220,,,,198523,333,,,
Nigeria,Africa,267229,130,,,,3155,2,,,
New Zealand,Western Pacific,2668236,55332,,,,4538,94,,,
Zimbabwe,Africa,266436,1793,,,,5740,39,,,
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Serbia,Europe,2568005,37074,1,,1,18057,261,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
