Source	Population	Allele	Alleles Observed	Alleles Total	Frequency
UKBB	African American/Afro-Caribbean	*6	2	3852	0.000519
UKBB	All populations	*6	657	400088	0.001642
UKBB	Central/South Asian	*6	129	6920	0.018642
UKBB	East Asian	*6	163	1274	0.127943
UKBB	European	*6	163	375320	0.000434
UKBB	Other	*6	200	10252	0.019508
UKBB	Sub-Saharan African	*6	0	2470	0
UKBB	African American/Afro-Caribbean	*27	0	3852	0
UKBB	All populations	*27	43	400088	0.000107
UKBB	Central/South Asian	*27	0	6920	0
UKBB	East Asian	*27	21	1274	0.016484
UKBB	European	*27	4	375320	0.000011
UKBB	Other	*27	18	10252	0.001756
UKBB	Sub-Saharan African	*27	0	2470	0
UKBB	African American/Afro-Caribbean	*28	5	3852	0.001298
UKBB	All populations	*28	279	400088	0.000697
UKBB	Central/South Asian	*28	3	6920	0.000434
UKBB	East Asian	*28	0	1274	0
UKBB	European	*28	249	375320	0.000663
UKBB	Other	*28	16	10252	0.001561
UKBB	Sub-Saharan African	*28	6	2470	0.002429
UKBB	African American/Afro-Caribbean	*36	266	3852	0.069055
UKBB	All populations	*36	1421	400088	0.003552
UKBB	Central/South Asian	*36	3	6920	0.000434
UKBB	East Asian	*36	0	1274	0
UKBB	European	*36	801	375320	0.002134
UKBB	Other	*36	142	10252	0.013851
UKBB	Sub-Saharan African	*36	209	2470	0.084615
UKBB	African American/Afro-Caribbean	*37	0	3852	0
UKBB	All populations	*37	0	400088	0
UKBB	Central/South Asian	*37	0	6920	0
UKBB	East Asian	*37	0	1274	0
UKBB	European	*37	0	375320	0
UKBB	Other	*37	0	10252	0
UKBB	Sub-Saharan African	*37	0	2470	0
UKBB	African American/Afro-Caribbean	*80	70	3852	0.018172
UKBB	All populations	*80	3079	400088	0.007696
UKBB	Central/South Asian	*80	51	6920	0.007370
UKBB	East Asian	*80	5	1274	0.003925
UKBB	European	*80	2819	375320	0.007511
UKBB	Other	*80	81	10252	0.007901
UKBB	Sub-Saharan African	*80	53	2470	0.021457
UKBB	African American/Afro-Caribbean	*80+*28	1460	3852	0.379024
UKBB	All populations	*80+*28	115668	400088	0.289106
UKBB	Central/South Asian	*80+*28	2623	6920	0.379046
UKBB	East Asian	*80+*28	133	1274	0.104396
UKBB	European	*80+*28	107271	375320	0.285812
UKBB	Other	*80+*28	3215	10252	0.313597
UKBB	Sub-Saharan African	*80+*28	966	2470	0.391093
UKBB	African American/Afro-Caribbean	*80+*37	146	3852	0.037902
UKBB	All populations	*80+*37	584	400088	0.001460
UKBB	Central/South Asian	*80+*37	4	6920	0.000578
UKBB	East Asian	*80+*37	1	1274	0.000785
UKBB	European	*80+*37	274	375320	0.000730
UKBB	Other	*80+*37	62	10252	0.006048
UKBB	Sub-Saharan African	*80+*37	97	2470	0.039271
